Manufacturer,Model,Vendor Analyte Name,Vendor Specimen Description,Vendor Result Description,LOINC Code,LOINC long Name,Vendor Analyte Code,Vendor Comment,Vendor Reference ID,Equipment UID,Equipment UID Type,Component,Property,Time,System,Scale,Method,Publication Version ID
Ethos Laboratories,LDT: Ethos Laboratories SARS-CoV-2 MALDI-TOF Assay*,SARS-CoV-2 Result Report,"nasal swab (445297001^Swab of internal nose^SCT)
mid-turbinate swab (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)
bronchoalveolar lavage specimens (258607008^Bronchoalveolar lavage fluid sample^SCT)","Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)
Not detected (260415000^Not Detected^SCT)
Detected (260373001^Detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)",95608-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with non-probe detection,,"Testing is limited to the Ethos Laboratories, located at 29 E. 6 St., Newport, KY 41071",,MassARRAY System_Agena Bioscience,MNI,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Non-probe.amp.tar,20200818
Ethos Laboratories,Ethos Laboratories SARS-CoV-2 MALDI-TOF Assay*,SARS-CoV-2 Result Report,"nasal swab (445297001^Swab of internal nose^SCT)
mid-turbinate swab (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)
bronchoalveolar lavage specimens (258607008^Bronchoalveolar lavage fluid sample^SCT)","Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)
Not detected (260415000^Not Detected^SCT)
Detected (260373001^Detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)",95608-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with non-probe detection,,"Testing is limited to the Ethos Laboratories, located at 29 E. 6 St., Newport, KY 41071",,MassARRAY System_Agena Bioscience,MNI,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Non-probe.amp.tar,20200818
EuroImmun,Anti-SARS-CoV-2 ELISA (IgA),Anti-SARS-CoV-2 ELISA (IgA) qualitative,"serum (119364003^Serum specimen^SCT)
plasma (119361006^Plasma specimen^SCT)","not elevated (260385009^Negative^SCT)
indeterminate (82334004^Indeterminate)
elevated (10828004^Positive^SCT)",94562-6,SARS coronavirus 2 IgA Ab [Presence] in Serum or Plasma by Immunoassay,,,,,,SARS coronavirus 2 Ab.IgA,PrThr,Pt,Ser/Plas,Ord,IA,20200617
EuroImmun,Anti-SARS-CoV-2 ELISA (IgG),Anti-SARS-CoV-2 ELISA (IgG) qualitative,"serum (119364003^Serum specimen^SCT)
plasma (119361006^Plasma specimen^SCT)","Negative (260385009^Negative^SCT)
Borderline (42425007^equivocal^SCT)
Positive (10828004^Positive^SCT)",94563-4,SARS coronavirus 2 IgG Ab [Presence] in Serum or Plasma by Immunoassay,,"Given acceptable precision, if repeating any measure, some results will fall above and some below. ?Equivocal? would be preferred result choice if ?borderline? cannot be used.",,,,SARS coronavirus 2 Ab.IgG,PrThr,Pt,Ser/Plas,Ord,IA,20200617
EuroImmun,EURORealTime SARS-CoV-2*,SARS-CoV-2 RNA,"nasal swabs (445297001^Swab of internal nose^SCT)
mid-turbinate swabs (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
bronchioalveolar lavage (BAL) (258607008^Bronchoalveolar lavage fluid sample^SCT)","SARS-CoV-2 RNA not detected (260415000^Not detected^SCT)
Invalid (no amplification signal for internal control) (455371000124106^Invalid result^SCT)
SARS-CoV-2 RNA detected (260373001^Detected^SCT)",94500-6,SARS-CoV-2 (COVID19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200617
Exact Sciences,LDT: SARS-CoV-2 Test*,,"Nasal swab (445297001^Swab of internal nose^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)


","Positive  (260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
Exact Sciences,LDT: Exact Sciences SARS-CoV-2 (N gene detection) Test*,SARS-CoV-2 RNA,"Nasal swab (445297001^Swab of internal nose^SCT)
Mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)","SARS-CoV-2 ?(COVID-19) RNA detected (260373001^Detected^SCT)
SARS-CoV-2 (COVID-19) RNA NOT detected (260415000^Not detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Invalid (455371000124106^Invalid result^SCT)",94533-7,SARS coronavirus 2 N gene [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200526
Exact Sciences,SARS-CoV-2 Test*,,"Nasal swab (445297001^Swab of internal nose^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)


","Positive  (260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
Exact Sciences,Exact Sciences SARS-CoV-2 (N gene detection) Test*,SARS-CoV-2 RNA,"Nasal swab (445297001^Swab of internal nose^SCT)
Mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)","SARS-CoV-2 ?(COVID-19) RNA detected (260373001^Detected^SCT)
SARS-CoV-2 (COVID-19) RNA NOT detected (260415000^Not detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Invalid (455371000124106^Invalid result^SCT)",94533-7,SARS coronavirus 2 N gene [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200526
Exact Sciences Laboratories,LDT: SARS-CoV-2 Test*,,"Nasal swab (445297001^Swab of internal nose^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)


","Positive  (260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
Exact Sciences Laboratories,LDT: Exact Sciences SARS-CoV-2 (N gene detection) Test*,SARS-CoV-2 RNA,"Nasal swab (445297001^Swab of internal nose^SCT)
Mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)","SARS-CoV-2 ?(COVID-19) RNA detected (260373001^Detected^SCT)
SARS-CoV-2 (COVID-19) RNA NOT detected (260415000^Not detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Invalid (455371000124106^Invalid result^SCT)",94533-7,SARS coronavirus 2 N gene [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200526
Exact Sciences Laboratories,SARS-CoV-2 Test*,,"Nasal swab (445297001^Swab of internal nose^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)


","Positive  (260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
Exact Sciences Laboratories,Exact Sciences SARS-CoV-2 (N gene detection) Test*,SARS-CoV-2 RNA,"Nasal swab (445297001^Swab of internal nose^SCT)
Mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)","SARS-CoV-2 ?(COVID-19) RNA detected (260373001^Detected^SCT)
SARS-CoV-2 (COVID-19) RNA NOT detected (260415000^Not detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Invalid (455371000124106^Invalid result^SCT)",94533-7,SARS coronavirus 2 N gene [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200526
Exact Sciences Laboratories,LDT: SARS-CoV-2 Test*,SARS-CoV-2 Result Interpretation,"Nasal swab (445297001^Swab of internal nose^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)


","Positive(260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
Exact Sciences Laboratories,SARS-CoV-2 Test*,SARS-CoV-2 Result Interpretation,"Nasal swab (445297001^Swab of internal nose^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)


","Positive(260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
Express Gene LLC (dba Molecular Diagnostics Laboratory),2019-nCoV RT-PCR Diagnostic Panel*,SARS-CoV-2 RNA,"Nasal swab (445297001^Swab of internal nose^SCT)
Mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)","SARS-CoV-2 detected (260373001^Detected^SCT)
SARS-CoV-2 ?not detected (260415000^Not detected^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200526
Express Gene LLC (dba Molecular Diagnostics Laboratory),LDT: Express Gene 2019-nCoV RT-PCR Diagnostic Panel*,SARS-CoV-2 RNA,"Nasal swab (445297001^Swab of internal nose^SCT)
Mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)","SARS-CoV-2 detected (260373001^Detected^SCT)
SARS-CoV-2not detected (260415000^Not detected^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200526
Express Gene LLC (dba Molecular Diagnostics Laboratory),Express Gene 2019-nCoV RT-PCR Diagnostic Panel*,SARS-CoV-2 RNA,"Nasal swab (445297001^Swab of internal nose^SCT)
Mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)","SARS-CoV-2 detected (260373001^Detected^SCT)
SARS-CoV-2not detected (260415000^Not detected^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200526
Fast Track Diagnostics,FTD SARS-CoV-2*,SARS-CoV-2 Interpretation,"Upper respiratory specimens, such as:
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)
Lower respiratory:
bronchoalveolar lavage (258607008^Bronchoalveolar lavage fluid sample^SCT)","SARS-CoV-2 detected (260373001^Detected^SCT)
SARS-CoV-2 not detected (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200512
Fluidigm Corporation,Advanta Dx SARS-CoV-2 RT-PCR Assay*,SARS-CoV-2 Sample Interpretation,saliva specimens (119342007^Saliva specimen^SCT),"Positive (260373001^Detected^SCT)
Negative (260415000^Not Detected^SCT)
No Template (125154007^Specimen unsatisfactory for evaluation^SCT)
Inconclusive (419984006^Inconclusive^SCT)",95425-5,SARS-CoV-2 (COVID-19) N gene [Presence] in Saliva (oral fluid) by NAA with probe detection,,,,,,SARS coronavirus 2 N gene,PrThr,Pt,Saliva,Ord,Probe.amp.tar,20200925
Fosun Pharma USA,Fosun COVID-19 RT-PCR Detection Kit*,SARS-CoV-2 nucleic acid,"Nasal swab (445297001^Swab of internal nose^SCT)
Mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)","2019-nCoV (+)?(260373001^Detected^SCT)
2019-nCoV (-) (260415000^Not detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Invalid (455371000124106^Invalid result^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200602
Fosun Pharma USA,COVID-19 RT-PCR Detection Kit*,SARS-CoV-2 nucleic acid,"Nasal swab (445297001^Swab of internal nose^SCT)
Mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)","2019-nCoV (+)?(260373001^Detected^SCT)
2019-nCoV (-) (260415000^Not detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Invalid (455371000124106^Invalid result^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200602
Fosun Pharma USA Inc.,Fosun COVID-19 RT-PCR Detection Kit*,SARS-CoV-2 nucleic acid,"Nasal swab (445297001^Swab of internal nose^SCT)
Mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)","2019-nCoV (+)?(260373001^Detected^SCT)
2019-nCoV (-) (260415000^Not detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Invalid (455371000124106^Invalid result^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200602
Fosun Pharma USA Inc.,COVID-19 RT-PCR Detection Kit*,SARS-CoV-2 nucleic acid,"Nasal swab (445297001^Swab of internal nose^SCT)
Mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)","2019-nCoV (+)?(260373001^Detected^SCT)
2019-nCoV (-) (260415000^Not detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Invalid (455371000124106^Invalid result^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200602
"Fulgent Therapeutics, LLC",COVID-19 by RT-PCR test*,COVID-19,"Nasal swab (445297001^Swab of internal nose^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)","COVID-19 Positive?(260373001^Detected^SCT)
COVID-19 Negative (260415000^Not detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Invalid (455371000124106^Invalid result^SCT)",94533-7,SARS coronavirus 2 N gene [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
Gencurix,GenePro SARS-CoV-2 Test*,SARS-CoV-2 RNA,"nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)
anterior nasal swab (697989009^Anterior nares swab^SCT)
mid-turbinate swab (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal wash/ aspirate (258467004^Nasopharyngeal washings^SCT or 258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)
bronchoalveolar lavage (BAL) (258607008^Bronchoalveolar lavage fluid sample^SCT)","Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)
SARS-CoV-2 Not Detected (260415000^Not detected^SCT)
Presumptive SARS-CoV-2 Positive (720735008^Presumptive positive^SCT)
SARS-CoV-2 Positive (260373001^Detected^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200630
Gene By Gene,LDT: Gene By Gene SARS-CoV-2 Detection Test*,SARS-CoV-2 Result Interpretation,"nasal swab (445297001^Swab of internal nose^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)","SARS-CoV-2 Detected (260373001^Detected^SCT)
SARS-CoV-2 Not Detected (260373001^Detected^SCT)
Indeterminate (82334004^Indeterminate^SCT)
Invalid Result (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94533-7,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory specimen by NAA with probe detection,,"Testing is limited to Gene By Gene’s laboratory located at 1445 North Loop West Suite 760, Houston, TX 77008",,,,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200715
Gene By Gene,Gene By Gene SARS-CoV-2 Detection Test*,SARS-CoV-2 Result Interpretation,"nasal swab (445297001^Swab of internal nose^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)","SARS-CoV-2 Detected (260373001^Detected^SCT)
SARS-CoV-2 Not Detected (260373001^Detected^SCT)
Indeterminate (82334004^Indeterminate^SCT)
Invalid Result (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94533-7,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory specimen by NAA with probe detection,,"Testing is limited to Gene By Gene’s laboratory located at 1445 North Loop West Suite 760, Houston, TX 77008",,,,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200715
Genematrix,NeoPlex COVID-19 Detection Kit*,,"Nasal swab (445297001^Swab of internal nose^SCT)
mid-turbinate nasal swab (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)
sputum (119334006^Sputum specimen^SCT)
tracheal aspirates (445447003^Specimen from trachea obtained by aspiration^SCT)","Positive ?(260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
Genematrix,NeoPlex COVID-19 Detection Kit*,SARS-CoV-2 Result Interpretation,"Nasal swab (445297001^Swab of internal nose^SCT)
mid-turbinate nasal swab (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)
sputum (119334006^Sputum specimen^SCT)
tracheal aspirates (445447003^Specimen from trachea obtained by aspiration^SCT)","Positive(260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
"Genetrack Biolabs, Inc.",LDT: Genetrack SARS-CoV-2 Molecular Assay*,SARS-CoV-2 Result Interpretation,anterior nasal swab (697989009^Anterior nares swab^SCT),"SARS-CoV-2 detected (260373001^Detected^SCT)
Inconclusive Result (419984006^Inconclusive^SCT)
SARS-CoV-2 not detected (260415000^Not Detected^SCT)
Invalid Result (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94533-7,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory specimen by NAA with probe detection,,"Testing is limited to Genetrack Biolabs Inc., located at 100 - 2806 Kingsway Vancouver BC V5R 5T5 Canada",,,,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20201005
"Genetrack Biolabs, Inc.",Genetrack SARS-CoV-2 Molecular Assay*,SARS-CoV-2 Result Interpretation,anterior nasal swab (697989009^Anterior nares swab^SCT),"SARS-CoV-2 detected (260373001^Detected^SCT)
Inconclusive Result (419984006^Inconclusive^SCT)
SARS-CoV-2 not detected (260415000^Not Detected^SCT)
Invalid Result (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94533-7,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory specimen by NAA with probe detection,,"Testing is limited to Genetrack Biolabs Inc., located at 100 - 2806 Kingsway Vancouver BC V5R 5T5 Canada",,,,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20201005
Genetron,Genetron SARS-CoV-2 RNA Test*,SARS-CoV-2 Result interpretation,"Upper respiratory specimens, such as:
oropharyngeal swabs (258529004^Throat swab^SCT)
nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
anterior nasal swabs (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swabs (871810001^Mid-turbinate nasal swab^SCT)","SARS-CoV-2 Detected (260373001^Detected^SCT)
SARS-CoV-2 Not Detected (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT)",94500-6,SARS-CoV-2 (COVID19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200617
GenMark,ePlex SARS-CoV-2 Test,SARS-CoV-2 N gene result,Nasopharyngeal Swab (258500001^Nasopharyngeal swab^SCT),"Target Detected (260373001^Detected^SCT)
Target Not Detected (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94760-6,SARS coronavirus 2 N gene [Presence] in Nasopharynx by NAA with probe detection,,"Only the SARS-CoV-2 assay of the panel is included in the document; for information on the full GenMark Dx ePlex Respiratory Panel and the list of respiratory pathogens included, visit the manufacturer's website: https://www.genmarkdx.com/solutions/panels/eplex-panels/eplex-sars-cov-2-test/",,,,SARS coronavirus 2 N gene,PrThr,Pt,Nph,Ord,Probe.amp.tar,20200617
